COURSE,SEMESTER,TIME,
CS1,S,TR 1000 AM - 1129 AM,119953
CS20,S,MWF 1000 AM - 1059 AM,128073
CS50,F,F 1000 AM - 1159 AM,152514
CS51,S,T 0100 PM - 0229 PM,112960
CS61,F,TR 0230 PM - 0359 PM,123623
CS91R,S,,113257
CS91R,F,,113257
CS96,F,MWF 0400 PM - 0559 PM,121508
CS105,F,TR 0100 PM - 0229 PM,125407
CS108,F,TR 1130 AM - 1259 PM,160419
CS109A,F,MW 0100 PM - 0229 PM,109899
CS109B,S,MW 0100 PM - 0229 PM,203546
CS121,F,TR 1000 AM - 1129 AM,119064
CS124,S,TR 1130 AM - 1259 PM,115384
CS126,F,TR 1000 AM - 1129 AM,204972
CS127,S,TR 1000 AM - 1129 AM,109566
CS134,F,MW 0230 PM - 0359 PM,160409
CS136,F,MW 1130 AM - 1259 PM,128164
CS141,F,MW 1000 AM - 1129 AM,113856
CS143,F,MW 0230 PM - 0359 PM,
CS144R,S,MW 0230 PM - 0359 PM,112630
CS148,S,TR 1130 AM - 1259 PM,110990
CS152,S,TR 1000 AM - 1129 AM,119629
CS165,F,MW 0400 PM - 0529 PM,119249
CS171,F,TR 0230 PM - 0359 PM,124364
CS175,F,MW 0100 PM - 0229 PM,113410
CS179,S,TR 0230 PM - 0359 PM,123971
CS181,S,MW 0900 AM - 1029 AM,148156
CS182,F,TR 0100 PM - 0229 PM,110661
CS189,S,F 0100 PM - 0359 PM,
CS191,S,MW 0900 AM - 1029 AM,204964
AM21A,F,MWF 1100 AM - 1159 AM,118408
AM21B,S,MWF 1100 AM - 1159 AM,
AM106,F,MW 0230 PM - 0359 PM,135449
AM120,S,TR 1000 AM - 1129 AM,113876
AM121,F,MW 1000 AM - 1129 AM,123662
AM107,S,TR 1000 AM - 1129 AM,118482
MATH21A,FS,,119196
MATH21B,FS,,110989
MATH23A,F,R 0300 PM - 0359 PM,111695
MATH23A,F,F 0100 PM - 0159 PM,111695
MATH23B,S,TR 0230 PM - 0359 PM,145010
MATH25A,F,MWF 1000 AM - 1059 AM,110808
MATH25B,S,MWF 1000 AM - 1059 AM,110855
MATH55A,F,MWF 1100 AM - 1159 AM,113627
MATH55B,S,MWF 1100 AM - 1159 AM,112871
MATH154,S,MWF 1200 PM - 1259 PM,113811
STAT110,F,TR 0230 PM - 0359 PM,110766
STAT121A,F,MW 0100 PM - 0229 PM,203101
STAT121B,S,MW 0100 PM - 0229 PM,203102
ES50,F,MW 0230 PM - 0359 PM,140008
ES52,S,MW 1130 AM - 1259 PM,109809
ES52,F,MW 0100 PM - 0229 PM,
